vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Gaming_2160P-5c53,Gaming,2160,140,4.309,4.329,4.322,4.353,0.6,0.596,0.568,0.569,3840,2160,yuv420p,29.97002997,,,
Gaming_2160P-673d,Gaming,2160,148,4.165,4.248,4.024,4.209,0.564,0.552,0.495,0.585,3840,2160,yuv420p,30,,,
Gaming_2160P-67b0,Gaming,2160,136,4.204,4.235,4.36,4.277,0.607,0.566,0.521,0.636,3840,2160,yuv420p,60,,,
Gaming_2160P-6bb6,Gaming,2160,131,4.537,4.534,4.615,4.536,0.473,0.426,0.388,0.444,3840,2160,yuv420p,60,,,
Gaming_2160P-6cd8,Gaming,2160,143,4.31,4.214,4.285,4.556,0.589,0.554,0.571,0.423,3840,2160,yuv420p,50,,,
Gaming_2160P-7e80,Gaming,2160,117,4.108,3.9,4.241,4.043,0.46,0.562,0.602,0.461,3840,2160,yuv420p,30,,,
Gaming_2160P-7ff0,Gaming,2160,133,4.238,4.366,4.172,4.182,0.604,0.502,0.597,0.647,3840,2160,yuv420p,60,,,
HDR_2160P-06ae,HDR,2160,130,4.474,4.432,4.382,4.384,0.552,0.604,0.59,0.618,3840,2160,yuv420p10le,24,,,
HDR_2160P-15e2,HDR,2160,104,4.191,4.113,4.144,4.225,0.621,0.621,0.609,0.592,3840,2160,yuv422p10le,59.94006309,,,
HDR_2160P-2a72,HDR,2160,138,4.113,4.023,3.846,4.076,0.733,0.757,0.639,0.711,3840,2160,yuv422p10le,59.94006309,,,
HDR_2160P-3663,HDR,2160,110,4.34,4.347,4.263,4.364,0.7,0.569,0.718,0.626,3840,2160,yuv422p10le,59.94006309,,,
HDR_2160P-40ab,HDR,2160,132,4.105,4.113,4.06,4.127,0.611,0.577,0.705,0.695,3840,2160,yuv420p10le,25,,,
HDR_2160P-4581,HDR,2160,118,3.979,4.132,4.091,3.87,0.515,0.603,0.651,0.608,3840,2160,yuv420p10le,24,,,
HDR_2160P-4dcd,HDR,2160,124,3.763,3.639,3.623,3.632,0.652,0.728,0.857,0.952,3840,2160,yuv422p10le,59.94006309,,,
HDR_2160P-5275,HDR,2160,126,4.206,4.248,4.264,4.116,0.628,0.654,0.604,0.642,3840,2160,yuv420p10le,29.97002997,,,
HDR_2160P-5926,HDR,2160,113,4.386,4.607,4.347,4.397,0.622,0.501,0.686,0.625,3840,2160,yuv420p10le,29.97002997,,,
HDR_2160P-5e25,HDR,2160,132,4.209,4.086,4.2,4.213,0.638,0.709,0.548,0.624,3840,2160,yuv420p10le,29.97002997,,,
HDR_2160P-664d,HDR,2160,123,3.753,3.733,3.391,3.017,0.651,0.649,0.713,0.742,3840,2160,yuv420p10le,25,,,
HDR_2160P-6ed1,HDR,2160,109,3.724,3.74,3.907,3.969,0.793,0.767,0.743,0.752,3840,2160,yuv422p10le,59.94006309,,,
HDR_2160P-6fab,HDR,2160,110,3.443,3.496,3.455,3.371,0.764,0.716,0.776,0.852,3840,2160,yuv422p10le,59.94006309,,,
HDR_2160P-70ca,HDR,2160,122,3.905,4.057,3.95,3.752,0.741,0.643,0.772,0.715,3840,2160,yuv422p10le,59.94006309,,,
Sports_2160P-0455,Sports,2160,126,4.287,4.364,4.204,4.191,0.56,0.591,0.75,0.651,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-086d,Sports,2160,132,4.376,4.373,4.563,4.579,0.561,0.595,0.41,0.439,3840,2160,yuv420p,23.97602398,,,
Sports_2160P-1261,Sports,2160,132,4.114,4.376,4.209,3.99,0.63,0.467,0.58,0.547,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-1733,Sports,2160,136,4.373,4.137,4.568,4.557,0.582,0.663,0.447,0.444,3840,2160,yuv420p,30,,,
Sports_2160P-1b70,Sports,2160,133,4.508,4.491,4.393,4.468,0.491,0.552,0.6,0.552,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-1ddc,Sports,2160,122,3.466,3.549,3.417,3.41,0.546,0.564,0.514,0.736,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-210c,Sports,2160,130,4.462,4.474,4.375,4.409,0.567,0.561,0.631,0.593,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-2568,Sports,2160,124,4.401,4.434,4.4,4.365,0.496,0.46,0.504,0.509,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-2626,Sports,2160,139,4.388,4.479,4.321,4.273,0.498,0.56,0.603,0.61,3840,2160,yuv420p,30,,,
Sports_2160P-279f,Sports,2160,120,4.526,4.588,4.62,4.509,0.414,0.438,0.442,0.62,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-2a83,Sports,2160,127,4.002,4.095,4.128,4.117,0.775,0.614,0.592,0.637,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-2e1d,Sports,2160,136,4.457,4.506,4.551,4.396,0.579,0.591,0.432,0.557,3840,2160,yuv420p,30,,,
Sports_2160P-2eda,Sports,2160,133,4.307,4.331,4.331,4.402,0.594,0.62,0.663,0.599,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-300d,Sports,2160,110,3.67,3.6,3.508,3.579,0.546,0.554,0.672,0.485,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-324e,Sports,2160,140,4.317,4.238,4.267,4.25,0.577,0.621,0.643,0.626,3840,2160,yuv420p,25,,,
Sports_2160P-349c,Sports,2160,131,4.302,4.364,4.47,4.366,0.609,0.605,0.609,0.64,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-3794,Sports,2160,106,3.158,3.106,3.086,2.891,0.679,0.606,0.594,0.666,3840,2160,yuv420p,59.94006309,,,
Sports_2160P-391a,Sports,2160,132,4.281,4.37,4.482,4.456,0.658,0.632,0.594,0.565,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-3a9a,Sports,2160,105,3.633,3.535,3.577,4.131,0.842,0.888,0.835,0.638,3840,2160,yuv420p,59.94006309,,,
Sports_2160P-3d85,Sports,2160,124,4.517,4.378,4.388,4.463,0.569,0.614,0.614,0.599,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-4024,Sports,2160,127,4.054,3.933,3.783,3.655,0.673,0.593,0.593,0.647,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-4201,Sports,2160,129,4.012,4.134,3.759,3.993,0.728,0.654,0.83,0.597,3840,2160,yuv420p,60,,,
Sports_2160P-49f1,Sports,2160,134,4.287,4.298,4.374,4.352,0.612,0.692,0.593,0.586,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-4aae,Sports,2160,124,4.323,4.447,4.429,4.428,0.526,0.452,0.442,0.479,3840,2160,yuv420p,59.94006309,,,
Sports_2160P-4e9f,Sports,2160,136,4.405,4.438,4.451,4.439,0.617,0.51,0.477,0.449,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-5ef3,Sports,2160,119,4.209,4.272,4.301,4.066,0.696,0.668,0.634,0.83,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-69b9,Sports,2160,122,4.564,4.425,4.511,4.44,0.471,0.558,0.497,0.563,3840,2160,yuv420p,30,,,
Sports_2160P-6b28,Sports,2160,137,4.391,4.324,4.392,4.182,0.434,0.482,0.485,0.592,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-7165,Sports,2160,112,4.351,4.291,4.322,4.536,0.561,0.613,0.594,0.49,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-7a11,Sports,2160,132,4.373,4.428,4.385,4.486,0.605,0.636,0.541,0.527,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-7af7,Sports,2160,115,3.95,4.024,3.992,3.896,0.472,0.513,0.7,0.462,3840,2160,yuv420p,29.97002997,,,
Sports_2160P-7af8,Sports,2160,128,3.563,3.409,3.12,3.25,0.801,0.781,0.931,0.946,3840,2160,yuv420p,59.94006309,,,
Sports_2160P-7bbe,Sports,2160,130,4.343,4.37,4.46,4.436,0.573,0.603,0.539,0.593,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-030a,Vlog,2160,131,2.448,2.648,2.661,2.526,0.9,0.849,0.777,0.701,3840,2160,yuv420p,23.97602398,,,
Vlog_2160P-0577,Vlog,2160,105,4.27,4.205,4.482,4.592,0.664,0.671,0.495,0.47,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-059c,Vlog,2160,123,4.441,4.409,4.525,4.363,0.521,0.583,0.465,0.633,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-09c9,Vlog,2160,129,2.876,1.89,4.157,4.416,1.233,0.744,0.76,0.584,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-13a1,Vlog,2160,121,3.859,3.514,3.859,4.152,0.569,0.762,0.601,0.595,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-13fe,Vlog,2160,106,3.992,4.111,3.917,3.798,0.543,0.606,0.547,0.595,3840,2160,yuv420p,25,,,
Vlog_2160P-19f9,Vlog,2160,134,3.919,4.122,4.194,4.117,0.702,0.605,0.611,0.692,3840,2160,yuv420p,30,,,
Vlog_2160P-1ff6,Vlog,2160,113,3.29,3.379,2.79,2.881,0.721,0.795,0.766,0.795,3840,2160,yuv420p,23.97602398,,,
Vlog_2160P-255c,Vlog,2160,113,4.443,4.38,4.263,4.157,0.495,0.549,0.63,0.728,3840,2160,yuv420p,25,,,
Vlog_2160P-2953,Vlog,2160,135,3.467,3.437,3.614,3.683,0.664,0.663,0.63,0.526,3840,2160,yuv420p,23.97602398,,,
Vlog_2160P-2b2d,Vlog,2160,126,3.906,4.005,4.068,3.986,0.866,0.794,0.69,0.584,3840,2160,yuv420p,25,,,
Vlog_2160P-3019,Vlog,2160,138,4.578,4.586,4.576,4.527,0.452,0.457,0.498,0.518,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-310b,Vlog,2160,116,3.857,3.646,3.886,4.297,0.586,0.549,0.602,0.535,3840,2160,yuv420p,30,,,
Vlog_2160P-327a,Vlog,2160,117,3.983,3.791,3.77,3.857,0.521,0.757,0.619,0.604,3840,2160,yuv420p,30,,,
Vlog_2160P-342a,Vlog,2160,113,4.321,4.283,4.488,4.39,0.59,0.548,0.436,0.61,3840,2160,yuv420p,60,,,
Vlog_2160P-3a75,Vlog,2160,122,4.212,4.258,4.428,4.349,0.631,0.585,0.492,0.511,3840,2160,yuv420p,30,,,
Vlog_2160P-408f,Vlog,2160,115,3.79,3.931,3.859,3.855,0.488,0.477,0.495,0.506,3840,2160,yuv420p,23.97602398,,,
Vlog_2160P-416c,Vlog,2160,145,4.019,3.979,3.933,3.963,0.721,0.48,0.508,0.545,3840,2160,yuv420p,30,,,
Vlog_2160P-4362,Vlog,2160,119,4.554,4.618,4.625,4.505,0.503,0.52,0.508,0.574,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-4419,Vlog,2160,126,4.324,4.457,4.189,4.198,0.555,0.542,0.439,0.594,3840,2160,yuv420p,25,,,
Vlog_2160P-4655,Vlog,2160,125,3.887,4.196,4.263,3.624,0.673,0.621,0.671,0.89,3840,2160,yuv420p,25,,,
Vlog_2160P-4f98,Vlog,2160,125,3.47,3.29,2.847,3.148,0.713,0.778,0.825,0.699,3840,2160,yuv420p,30,,,
Vlog_2160P-522f,Vlog,2160,132,4.324,4.363,4.382,4.392,0.543,0.595,0.551,0.574,3840,2160,yuv420p,30,,,
Vlog_2160P-56e4,Vlog,2160,136,4.289,4.065,4.266,4.272,0.485,0.607,0.587,0.656,3840,2160,yuv420p,30,,,
Vlog_2160P-5874,Vlog,2160,134,4.101,4.296,3.92,4.062,0.659,0.556,0.646,0.752,3840,2160,yuv420p,25,,,
Vlog_2160P-62b2,Vlog,2160,115,3.39,3.376,3.154,3.177,0.709,0.739,0.7,0.684,3840,2160,yuv420p,30,,,
Vlog_2160P-6629,Vlog,2160,129,4.27,4.213,4.286,4.229,0.641,0.655,0.664,0.644,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-6f92,Vlog,2160,114,3.886,3.764,3.681,3.529,0.532,0.565,0.569,0.746,3840,2160,yuv420p,29.97002997,,,
Vlog_2160P-700c,Vlog,2160,118,3.881,4.14,3.703,3.672,0.625,0.619,0.738,0.84,3840,2160,yuv420p,30,,,
Vlog_2160P-70d6,Vlog,2160,110,3.067,3.074,3.188,3.012,0.698,0.673,0.679,0.708,3840,2160,yuv420p,30,,,
Vlog_2160P-7324,Vlog,2160,116,4.194,4.209,3.802,4.196,0.713,0.634,1.041,0.849,3840,2160,yuv420p,25,,,
Vlog_2160P-77d8,Vlog,2160,104,3.667,3.348,3.643,3.348,0.599,0.797,0.673,0.727,3840,2160,yuv420p,23.97602398,,,
Vlog_2160P-7b10,Vlog,2160,121,3.864,3.654,3.951,3.823,0.577,0.729,0.751,0.528,3840,2160,yuv420p,30,,,
Vlog_2160P-7b5c,Vlog,2160,104,3.61,2.933,2.747,3.13,0.726,0.736,0.637,0.676,3840,2160,yuv420p,30,,,
Vlog_2160P-7bfb,Vlog,2160,125,4.206,4.396,4.127,4.058,0.665,0.493,0.6,0.707,3840,2160,yuv420p,30,,,
Vlog_2160P-7f05,Vlog,2160,118,3.111,2.916,2.916,3.056,0.63,0.716,0.687,0.669,3840,2160,yuv420p,30,,,
